product_id,sku,product_name,paper_type,weight_gsm,ream_size,brand_tier,color,recycled_flag,unit_cost,list_price
1,DM-COP-0001,Standard Cream Copy Paper 86gsm (1000 ct),Copy Paper,86.9,1000,Standard,Cream,False,4.43,7.69
2,DM-COP-0002,Premium Pink Copy Paper 87gsm (250 ct),Copy Paper,87.5,250,Premium,Pink,False,6.61,9.97
3,DM-COP-0003,Premium Cream Copy Paper 78gsm (1000 ct),Copy Paper,78.9,1000,Premium,Cream,False,5.9,9.39
4,DM-COP-0004,Premium Yellow Copy Paper 79gsm (250 ct),Copy Paper,79.9,250,Premium,Yellow,False,4.7,8.17
5,DM-COP-0005,Premium Bright White Copy Paper 84gsm (500 ct),Copy Paper,84.0,500,Premium,Bright White,False,5.46,9.24
6,DM-COP-0006,Standard Ivory Copy Paper 77gsm (250 ct),Copy Paper,77.3,250,Standard,Ivory,True,4.69,6.53
7,DM-COP-0007,Economy White Copy Paper 86gsm (250 ct),Copy Paper,86.2,250,Economy,White,False,3.21,5.26
8,DM-COP-0008,Economy Assorted Copy Paper 75gsm (500 ct),Copy Paper,75.2,500,Economy,Assorted,False,2.78,4.78
9,DM-COP-0009,Economy Assorted Copy Paper 83gsm (500 ct),Copy Paper,83.3,500,Economy,Assorted,False,3.67,5.23
10,DM-COP-0010,Economy Assorted Copy Paper 87gsm (250 ct),Copy Paper,87.1,250,Economy,Assorted,False,3.4,5.61
11,DM-COP-0011,Premium Pink Copy Paper 85gsm (1000 ct),Copy Paper,85.2,1000,Premium,Pink,False,6.4,10.12
12,DM-REC-0012,Economy Assorted Recycled Copy 74gsm (1000 ct),Recycled Copy,74.7,1000,Economy,Assorted,True,3.35,4.73
13,DM-REC-0013,Economy Bright White Recycled Copy 72gsm (250 ct),Recycled Copy,72.5,250,Economy,Bright White,True,2.88,5.09
14,DM-REC-0014,Premium White Recycled Copy 84gsm (250 ct),Recycled Copy,84.5,250,Premium,White,True,6.43,9.78
15,DM-REC-0015,Economy Cream Recycled Copy 85gsm (1000 ct),Recycled Copy,85.1,1000,Economy,Cream,True,4.03,6.2
16,DM-REC-0016,Economy Pink Recycled Copy 83gsm (250 ct),Recycled Copy,83.9,250,Economy,Pink,True,3.12,4.71
17,DM-REC-0017,Premium White Recycled Copy 78gsm (1000 ct),Recycled Copy,78.7,1000,Premium,White,True,5.06,8.76
18,DM-REC-0018,Economy Cream Recycled Copy 80gsm (500 ct),Recycled Copy,80.8,500,Economy,Cream,True,2.7,4.84
19,DM-REC-0019,Premium Assorted Recycled Copy 78gsm (500 ct),Recycled Copy,78.1,500,Premium,Assorted,True,6.8,10.27
20,DM-REC-0020,Premium Yellow Recycled Copy 82gsm (250 ct),Recycled Copy,82.8,250,Premium,Yellow,True,5.45,9.61
21,DM-COL-0021,Economy Yellow Colored Copy 88gsm (1000 ct),Colored Copy,88.2,1000,Economy,Yellow,False,3.92,6.03
22,DM-COL-0022,Economy Ivory Colored Copy 80gsm (1000 ct),Colored Copy,80.5,1000,Economy,Ivory,False,4.58,7.04
23,DM-COL-0023,Standard Yellow Colored Copy 86gsm (1000 ct),Colored Copy,86.2,1000,Standard,Yellow,False,4.78,7.81
24,DM-COL-0024,Premium Cream Colored Copy 76gsm (250 ct),Colored Copy,76.3,250,Premium,Cream,False,8.38,11.8
25,DM-COL-0025,Standard White Colored Copy 80gsm (1000 ct),Colored Copy,80.9,1000,Standard,White,False,4.39,7.13
26,DM-COL-0026,Premium Bright White Colored Copy 94gsm (1000 ct),Colored Copy,94.3,1000,Premium,Bright White,True,7.37,10.34
27,DM-COL-0027,Standard Pink Colored Copy 76gsm (1000 ct),Colored Copy,76.3,1000,Standard,Pink,False,5.07,7.88
28,DM-COL-0028,Premium Yellow Colored Copy 80gsm (1000 ct),Colored Copy,80.3,1000,Premium,Yellow,False,6.99,10.49
29,DM-CAR-0029,Premium White Cardstock 276gsm (250 ct),Cardstock,276.1,250,Premium,White,True,15.78,22.25
30,DM-CAR-0030,Standard Cream Cardstock 249gsm (1000 ct),Cardstock,249.9,1000,Standard,Cream,False,9.43,16.64
31,DM-CAR-0031,Economy Pink Cardstock 192gsm (1000 ct),Cardstock,192.6,1000,Economy,Pink,True,8.33,12.95
32,DM-CAR-0032,Economy Assorted Cardstock 182gsm (500 ct),Cardstock,182.8,500,Economy,Assorted,False,9.34,13.24
33,DM-CAR-0033,Premium Assorted Cardstock 181gsm (1000 ct),Cardstock,181.1,1000,Premium,Assorted,False,11.24,17.1
34,DM-CAR-0034,Standard Blue Cardstock 249gsm (500 ct),Cardstock,249.5,500,Standard,Blue,True,12.22,18.82
35,DM-CAR-0035,Economy White Cardstock 269gsm (500 ct),Cardstock,269.4,500,Economy,White,True,10.85,17.05
36,DM-CAR-0036,Standard Bright White Cardstock 207gsm (1000 ct),Cardstock,207.6,1000,Standard,Bright White,False,11.32,15.84
37,DM-CAR-0037,Standard White Cardstock 184gsm (250 ct),Cardstock,184.2,250,Standard,White,False,9.8,15.44
38,DM-CAR-0038,Standard Ivory Cardstock 293gsm (250 ct),Cardstock,293.0,250,Standard,Ivory,False,11.9,20.02
39,DM-CAR-0039,Premium Bright White Cardstock 224gsm (250 ct),Cardstock,224.9,250,Premium,Bright White,False,13.65,20.17
40,DM-CAR-0040,Standard Cream Cardstock 244gsm (250 ct),Cardstock,244.6,250,Standard,Cream,True,12.25,18.53
41,DM-GLO-0041,Premium Assorted Glossy Photo 171gsm (500 ct),Glossy Photo,171.4,500,Premium,Assorted,False,13.22,20.57
42,DM-GLO-0042,Economy Ivory Glossy Photo 225gsm (1000 ct),Glossy Photo,225.8,1000,Economy,Ivory,False,12.13,17.53
43,DM-GLO-0043,Economy White Glossy Photo 187gsm (500 ct),Glossy Photo,187.5,500,Economy,White,False,9.59,16.59
44,DM-GLO-0044,Economy Yellow Glossy Photo 210gsm (500 ct),Glossy Photo,210.6,500,Economy,Yellow,False,11.28,17.06
45,DM-GLO-0045,Economy Pink Glossy Photo 196gsm (1000 ct),Glossy Photo,196.6,1000,Economy,Pink,True,11.87,16.72
46,DM-GLO-0046,Standard Cream Glossy Photo 255gsm (500 ct),Glossy Photo,255.6,500,Standard,Cream,False,14.22,20.97
47,DM-GLO-0047,Economy Assorted Glossy Photo 183gsm (500 ct),Glossy Photo,183.0,500,Economy,Assorted,False,9.77,16.03
48,DM-GLO-0048,Premium Bright White Glossy Photo 249gsm (1000 ct),Glossy Photo,249.8,1000,Premium,Bright White,False,13.99,23.47
49,DM-LET-0049,Standard Pink Letterhead 95gsm (1000 ct),Letterhead,95.9,1000,Standard,Pink,False,6.8,9.73
50,DM-LET-0050,Premium Pink Letterhead 96gsm (500 ct),Letterhead,96.9,500,Premium,Pink,False,8.18,12.68
51,DM-LET-0051,Economy Yellow Letterhead 100gsm (250 ct),Letterhead,100.3,250,Economy,Yellow,False,5.46,8.6
52,DM-LET-0052,Premium Assorted Letterhead 108gsm (1000 ct),Letterhead,108.9,1000,Premium,Assorted,False,7.33,12.52
53,DM-LET-0053,Standard Ivory Letterhead 114gsm (250 ct),Letterhead,114.7,250,Standard,Ivory,False,6.68,10.31
54,DM-LET-0054,Premium Pink Letterhead 98gsm (1000 ct),Letterhead,98.7,1000,Premium,Pink,False,8.51,12.83
55,DM-LET-0055,Economy White Letterhead 115gsm (1000 ct),Letterhead,115.4,1000,Economy,White,False,6.31,9.32
56,DM-LET-0056,Standard Cream Letterhead 117gsm (250 ct),Letterhead,117.8,250,Standard,Cream,False,6.54,11.12
57,DM-LET-0057,Premium Assorted Letterhead 115gsm (500 ct),Letterhead,115.2,500,Premium,Assorted,False,8.93,14.09
58,DM-LET-0058,Premium White Letterhead 116gsm (500 ct),Letterhead,116.9,500,Premium,White,False,8.15,12.46
59,DM-LEG-0059,Standard Cream Legal Pad 68gsm (500 ct),Legal Pad,68.0,500,Standard,Cream,False,4.76,7.56
60,DM-LEG-0060,Premium Ivory Legal Pad 76gsm (1000 ct),Legal Pad,76.4,1000,Premium,Ivory,False,7.32,10.53
61,DM-LEG-0061,Economy Ivory Legal Pad 71gsm (500 ct),Legal Pad,71.7,500,Economy,Ivory,False,4.72,7.11
62,DM-LEG-0062,Standard Bright White Legal Pad 65gsm (500 ct),Legal Pad,65.1,500,Standard,Bright White,False,5.17,7.4
